IMSI,MRTime,Longitude,Latitude,Num_connected,RNCID_1,CellID_1,AsuLevel_1,SignalLevel_1,RSSI_1,RNCID_2,CellID_2,AsuLevel_2,SignalLevel_2,RSSI_2,RNCID_3,CellID_3,AsuLevel_3,SignalLevel_3,RSSI_3,RNCID_4,CellID_4,AsuLevel_4,SignalLevel_4,RSSI_4,RNCID_5,CellID_5,AsuLevel_5,SignalLevel_5,RSSI_5,RNCID_6,CellID_6,AsuLevel_6,SignalLevel_6,RSSI_6,RNCID_7,CellID_7,AsuLevel_7,SignalLevel_7,RSSI_7
460012796993062.00 ,1507595765901.00 ,121.2135629,31.29179758,7,6188,26051,27,4,-59,6188,27394,10,3,-93,6188,27377,18,4,-77,6188,27378,12,4,-89,6182,41139,8,3,-97,6188,27393,9,3,-95,6182,44754,9,3,-95
460012796993062.00 ,1507595770762.00 ,121.2135629,31.29179758,7,6188,26051,27,4,-59,6188,27394,11,3,-91,6188,27377,19,4,-75,6188,27378,12,4,-89,6182,41139,8,3,-97,6188,27393,9,3,-95,6188,27379,9,3,-95
460012796993062.00 ,1507595775821.00 ,121.2136022,31.29184981,7,6188,26051,28,4,-57,6188,27394,12,4,-89,6188,27377,21,4,-71,6188,27378,11,3,-91,6182,41139,7,2,-99,6188,27393,9,3,-95,6188,26049,8,3,-97
460012796993062.00 ,1507595780883.00 ,121.2136307,31.29183454,6,6188,26051,31,4,-51,6188,27394,14,4,-85,6188,27377,21,4,-71,6188,27393,11,3,-91,0,-1,9,3,-95,6188,27379,8,3,-97,,,,,
460012796993062.00 ,1507595785944.00 ,121.2135942,31.29185586,6,6188,26051,31,4,-51,6188,27394,19,4,-75,6188,27377,21,4,-71,6188,27393,15,4,-83,0,-1,11,3,-91,6188,26049,12,4,-89,,,,,
460012796993062.00 ,1507595791207.00 ,121.2135968,31.29185364,6,6188,26051,31,4,-51,6188,27394,20,4,-73,6188,27377,22,4,-69,6188,27393,17,4,-79,0,-1,13,4,-87,6182,41155,13,4,-87,,,,,
460012796993062.00 ,1507595796263.00 ,121.2135968,31.29185364,6,6188,26051,31,4,-51,6188,27394,22,4,-69,6188,27377,23,4,-67,6188,27393,19,4,-75,0,-1,15,4,-83,6182,41155,15,4,-83,,,,,
460012796993062.00 ,1507595801127.00 ,121.2135272,31.29179135,6,6188,26051,31,4,-51,6188,27394,22,4,-69,6188,27377,22,4,-69,6188,27393,20,4,-73,0,-1,15,4,-83,6182,41155,16,4,-81,,,,,
460012796993062.00 ,1507595806398.00 ,121.2135818,31.29175559,6,6188,26051,28,4,-57,6188,27394,23,4,-67,6188,27377,23,4,-67,6188,27393,20,4,-73,6182,41155,16,4,-81,6182,41139,15,4,-83,,,,,
460012796993062.00 ,1507595811466.00 ,121.2135635,31.29176761,6,6188,26051,27,4,-59,6188,27394,22,4,-69,6188,27377,24,4,-65,6188,27393,20,4,-73,6182,41155,16,4,-81,6188,26049,15,4,-83,,,,,
460012796993062.00 ,1507595816335.00 ,121.2136505,31.29180104,7,6188,26051,31,4,-51,6188,27394,22,4,-69,6188,27377,24,4,-65,6188,27393,21,4,-71,6182,41155,16,4,-81,6188,26049,17,4,-79,6182,44754,15,4,-83
460012796993062.00 ,1507595821410.00 ,121.2136922,31.29183562,7,6188,26051,27,4,-59,6188,27394,22,4,-69,6188,27377,26,4,-61,6188,27393,19,4,-75,6182,41155,15,4,-83,6188,26049,17,4,-79,6182,44754,14,4,-85
460012796993062.00 ,1507595826675.00 ,121.2136895,31.2918418,7,6188,26051,24,4,-65,6188,27394,19,4,-75,6188,27377,23,4,-67,6188,27393,18,4,-77,6182,41155,13,4,-87,6188,26049,15,4,-83,6182,44754,13,4,-87
460012796993062.00 ,1507595831735.00 ,121.2136839,31.29184524,7,6188,26051,25,4,-63,6188,27394,17,4,-79,6188,27377,23,4,-67,6188,27393,16,4,-81,6182,41155,11,3,-91,6188,26049,14,4,-85,6182,41139,11,3,-91
460012796993062.00 ,1507595836922.00 ,121.2136839,31.29184524,6,6188,26051,26,4,-61,6188,27394,16,4,-81,6188,27377,21,4,-71,6188,27393,14,4,-85,6182,41155,10,3,-93,6188,26049,11,3,-91,,,,,
460011670515939.00 ,1509264697092.00 ,121.2158051,31.28950141,7,6188,20865,9,3,-95,6182,13698,10,3,-93,6188,27394,9,3,-95,6188,26051,9,3,-95,6188,27361,15,4,-83,6182,41139,14,4,-85,6188,27378,10,3,-93
460011670515939.00 ,1509264699234.00 ,121.2158051,31.28950141,7,6188,20865,10,3,-93,6182,13698,9,3,-95,6188,27394,9,3,-95,6188,26051,8,3,-97,6188,27361,14,4,-85,6182,41139,13,4,-87,6188,27378,11,3,-91
460011670515939.00 ,1509264733250.00 ,121.2158051,31.28950141,5,6188,25105,15,4,-83,6182,41139,14,4,-85,6188,27378,13,4,-87,6188,27394,10,3,-93,0,-1,10,3,-93,,,,,,,,,,
460011670515939.00 ,1509264735394.00 ,121.2093179,31.2843806,5,6188,25105,15,4,-83,6182,41139,15,4,-83,6188,27378,13,4,-87,6188,27394,10,3,-93,0,-1,11,3,-91,,,,,,,,,,
460011670515939.00 ,1509264737527.00 ,121.2093178,31.28433619,5,6188,25105,15,4,-83,6182,41139,15,4,-83,6188,27378,13,4,-87,6188,27394,12,4,-89,0,-1,11,3,-91,,,,,,,,,,
460011670515939.00 ,1509264739678.00 ,121.2092819,31.28430747,4,6188,25105,14,4,-85,6182,41139,16,4,-81,6188,27378,15,4,-83,6188,27394,12,4,-89,,,,,,,,,,,,,,,
460011670515939.00 ,1509264741835.00 ,121.2092148,31.28430609,5,6188,25105,13,4,-87,6182,41139,16,4,-81,6188,27378,15,4,-83,6188,27394,15,4,-83,0,-1,12,4,-89,,,,,,,,,,
460011670515939.00 ,1509264743971.00 ,121.209168,31.28424647,5,6188,25105,12,4,-89,6182,41139,16,4,-81,6188,27378,18,4,-77,6188,27394,15,4,-83,0,-1,14,4,-85,,,,,,,,,,
460011670515939.00 ,1509264745870.00 ,121.2091038,31.28417274,5,6188,25105,11,3,-91,6182,41139,17,4,-79,6188,27378,18,4,-77,6188,27394,18,4,-77,0,-1,14,4,-85,,,,,,,,,,
460011670515939.00 ,1509264747999.00 ,121.2090618,31.28409733,5,6188,27378,10,3,-93,6182,41139,16,4,-81,6188,27378,21,4,-71,6188,27394,18,4,-77,0,-1,15,4,-83,,,,,,,,,,
460011670515939.00 ,1509264750154.00 ,121.2089817,31.28391689,3,6188,27378,22,4,-69,6182,41139,16,4,-81,0,-1,15,4,-83,,,,,,,,,,,,,,,,,,,,
460011670515939.00 ,1509264752306.00 ,121.2089638,31.28389679,4,6188,27378,22,4,-69,6182,41139,16,4,-81,6188,27395,16,4,-81,0,-1,13,4,-87,,,,,,,,,,,,,,,
460011670515939.00 ,1509264754445.00 ,121.2089338,31.28381354,5,6188,27378,23,4,-67,6182,41139,14,4,-85,6188,27395,16,4,-81,0,-1,13,4,-87,6188,27394,18,4,-77,,,,,,,,,,
460011670515939.00 ,1509264756596.00 ,121.208975,31.28374804,7,6188,27378,25,4,-63,6182,41139,14,4,-85,6188,27395,16,4,-81,0,-1,13,4,-87,6188,27394,19,4,-75,6182,13698,17,4,-79,0,-1,13,4,-87
460011670515939.00 ,1509264758757.00 ,121.20904,31.2836782,7,6188,27378,27,4,-59,6182,41139,14,4,-85,6188,27395,16,4,-81,0,-1,14,4,-85,6188,27394,19,4,-75,6182,13698,16,4,-81,0,-1,13,4,-87
460011670515939.00 ,1509264760893.00 ,121.2092786,31.28355925,7,6188,27378,28,4,-57,6182,41139,14,4,-85,6188,27395,18,4,-77,0,-1,14,4,-85,6188,27394,20,4,-73,6182,13698,16,4,-81,6188,27379,14,4,-85
460011670515939.00 ,1509264763042.00 ,121.2092786,31.28355925,6,6188,27378,29,4,-55,6188,27395,18,4,-77,0,-1,14,4,-85,6188,27394,20,4,-73,6182,13698,16,4,-81,6188,27379,14,4,-85,,,,,
460011670515939.00 ,1509264763883.00 ,121.2093509,31.28345593,6,6188,27378,29,4,-55,6188,27395,18,4,-77,0,-1,14,4,-85,6188,27394,20,4,-73,6182,13698,16,4,-81,6188,27379,14,4,-85,,,,,
460011670515939.00 ,1509264764959.00 ,121.2093509,31.28345593,6,6188,27378,29,4,-55,6188,27395,19,4,-75,0,-1,14,4,-85,6188,27394,22,4,-69,6182,13698,16,4,-81,6188,27379,14,4,-85,,,,,
460011670515939.00 ,1509264766000.00 ,121.2093982,31.28340438,6,6188,27378,29,4,-55,6188,27395,19,4,-75,0,-1,14,4,-85,6188,27394,22,4,-69,6182,13698,16,4,-81,6188,27379,14,4,-85,,,,,
460011670515939.00 ,1509264767114.00 ,121.2093982,31.28340438,6,6188,27378,27,4,-59,6188,27395,19,4,-75,0,-1,14,4,-85,6188,27394,22,4,-69,6182,13698,16,4,-81,6188,27379,14,4,-85,,,,,
460011670515939.00 ,1509264768141.00 ,121.2094945,31.28331896,6,6188,27378,27,4,-59,6188,27395,19,4,-75,0,-1,14,4,-85,6188,27394,22,4,-69,6182,13698,16,4,-81,6188,27379,14,4,-85,,,,,
460011670515939.00 ,1509264769225.00 ,121.2094945,31.28331896,6,6188,27378,24,4,-65,6188,27395,20,4,-73,0,-1,14,4,-85,6188,27394,22,4,-69,6182,13698,16,4,-81,6188,27379,14,4,-85,,,,,
460011670515939.00 ,1509264770291.00 ,121.2096235,31.28322493,6,6188,27378,24,4,-65,6188,27395,20,4,-73,0,-1,14,4,-85,6188,27394,22,4,-69,6182,13698,16,4,-81,6188,27379,14,4,-85,,,,,
460011670515939.00 ,1509264771365.00 ,121.2096235,31.28322493,7,6188,27378,21,4,-71,6188,27395,20,4,-73,0,-1,14,4,-85,6188,27394,22,4,-69,6182,13698,15,4,-83,6188,27379,14,4,-85,0,-1,14,4,-85
460011670515939.00 ,1509264772454.00 ,121.20973,31.2831575,7,6188,27378,21,4,-71,6188,27395,20,4,-73,0,-1,14,4,-85,6188,27394,22,4,-69,6182,13698,15,4,-83,6188,27379,14,4,-85,0,-1,14,4,-85
460011670515939.00 ,1509264773517.00 ,121.20973,31.2831575,7,6188,27378,19,4,-75,6188,27395,19,4,-75,0,-1,14,4,-85,6188,27394,21,4,-71,6182,13698,15,4,-83,6188,27379,13,4,-87,0,-1,14,4,-85
460011670515939.00 ,1509264774585.00 ,121.209801,31.2830699,7,6188,27378,19,4,-75,6188,27395,19,4,-75,0,-1,14,4,-85,6188,27394,21,4,-71,6182,13698,15,4,-83,6188,27379,13,4,-87,0,-1,14,4,-85
460011670515939.00 ,1509264775933.00 ,121.209801,31.2830699,6,6188,27378,18,4,-77,6188,27395,19,4,-75,0,-1,14,4,-85,6188,27394,21,4,-71,6182,13698,14,4,-85,0,-1,14,4,-85,,,,,
460011670515939.00 ,1509264776741.00 ,121.2098647,31.28299994,6,6188,27378,18,4,-77,6188,27395,19,4,-75,0,-1,14,4,-85,6188,27394,21,4,-71,6182,13698,14,4,-85,0,-1,14,4,-85,,,,,
460011670515939.00 ,1509264777812.00 ,121.2098647,31.28299994,7,6188,27378,18,4,-77,6188,27395,19,4,-75,0,-1,14,4,-85,6188,27394,21,4,-71,6182,13698,14,4,-85,0,-1,13,4,-87,0,-1,15,4,-83
460011670515939.00 ,1509264778898.00 ,121.2099741,31.28293289,7,6188,27378,18,4,-77,6188,27395,19,4,-75,0,-1,14,4,-85,6188,27394,21,4,-71,6182,13698,14,4,-85,0,-1,13,4,-87,0,-1,15,4,-83
460011670515939.00 ,1509264781033.00 ,121.2100531,31.2828718,7,6188,27378,18,4,-77,6188,27395,19,4,-75,0,-1,14,4,-85,6188,27394,21,4,-71,6182,13698,14,4,-85,0,-1,13,4,-87,0,-1,15,4,-83
460011670515939.00 ,1509264781879.00 ,121.2100531,31.2828718,3,6188,27395,13,4,-87,6188,27394,19,4,-75,0,-1,13,4,-87,,,,,,,,,,,,,,,,,,,,
460011670515939.00 ,1509264782918.00 ,121.2101676,31.28278943,3,6188,27395,13,4,-87,6188,27394,19,4,-75,0,-1,13,4,-87,,,,,,,,,,,,,,,,,,,,
460011670515939.00 ,1509264784054.00 ,121.2101676,31.28278943,2,6188,27395,13,4,-87,6188,27394,17,4,-79,,,,,,,,,,,,,,,,,,,,,,,,,
460011670515939.00 ,1509264785060.00 ,121.210263,31.28272468,2,6188,27395,13,4,-87,6188,27394,17,4,-79,,,,,,,,,,,,,,,,,,,,,,,,,
460011670515939.00 ,1509264786143.00 ,121.210263,31.28272468,4,6188,27395,12,4,-89,6188,27394,17,4,-79,0,-1,19,4,-75,0,-1,12,4,-89,,,,,,,,,,,,,,,
460011670515939.00 ,1509264787211.00 ,121.2103622,31.28266179,4,6188,27395,12,4,-89,6188,27394,17,4,-79,0,-1,19,4,-75,0,-1,12,4,-89,,,,,,,,,,,,,,,
460011670515939.00 ,1509264788284.00 ,121.2103622,31.28266179,4,6188,27395,11,3,-91,6188,27394,15,4,-83,6188,27378,19,4,-75,0,-1,12,4,-89,,,,,,,,,,,,,,,
460011670515939.00 ,1509264789369.00 ,121.2104627,31.28259424,4,6188,27395,11,3,-91,6188,27394,15,4,-83,6188,27378,19,4,-75,0,-1,12,4,-89,,,,,,,,,,,,,,,
460011670515939.00 ,1509264790436.00 ,121.2104627,31.28259424,5,6188,27395,11,3,-91,6188,27394,15,4,-83,6188,27378,19,4,-75,6188,26051,13,4,-87,0,-1,12,4,-89,,,,,,,,,,
460011670515939.00 ,1509264791506.00 ,121.2105643,31.28253585,5,6188,27395,11,3,-91,6188,27394,15,4,-83,6188,27378,19,4,-75,6188,26051,13,4,-87,0,-1,12,4,-89,,,,,,,,,,
460011670515939.00 ,1509264792593.00 ,121.2105643,31.28253585,5,6188,27395,11,3,-91,6188,27394,14,4,-85,6188,27378,19,4,-75,6188,26051,13,4,-87,0,-1,12,4,-89,,,,,,,,,,
460011670515939.00 ,1509264793658.00 ,121.2106572,31.282463,5,6188,27395,11,3,-91,6188,27394,14,4,-85,6188,27378,19,4,-75,6188,26051,13,4,-87,0,-1,12,4,-89,,,,,,,,,,
460011670515939.00 ,1509264794730.00 ,121.2106572,31.282463,5,6188,27378,18,4,-77,6188,26051,13,4,-87,0,-1,12,4,-89,0,-1,11,3,-91,0,-1,12,4,-89,,,,,,,,,,
460011670515939.00 ,1509264795813.00 ,121.2107368,31.28240378,5,6188,27378,18,4,-77,6188,26051,13,4,-87,0,-1,12,4,-89,0,-1,11,3,-91,0,-1,12,4,-89,,,,,,,,,,
460011670515939.00 ,1509264796890.00 ,121.2107368,31.28240378,6,6188,27378,20,4,-73,6188,26051,13,4,-87,6188,25763,12,4,-89,0,-1,12,4,-89,6182,13698,12,4,-89,0,-1,12,4,-89,,,,,
460011670515939.00 ,1509264797708.00 ,121.2109149,31.28231145,6,6188,27378,20,4,-73,6188,26051,13,4,-87,6188,25763,12,4,-89,0,-1,12,4,-89,6182,13698,12,4,-89,0,-1,12,4,-89,,,,,
460011670515939.00 ,1509264798799.00 ,121.2109149,31.28231145,4,6188,27378,22,4,-69,6188,26051,14,4,-85,0,-1,12,4,-89,6188,27394,13,4,-87,,,,,,,,,,,,,,,
460011670515939.00 ,1509264799839.00 ,121.2109899,31.28225603,4,6188,27378,22,4,-69,6188,26051,14,4,-85,0,-1,12,4,-89,6188,27394,13,4,-87,,,,,,,,,,,,,,,
460011670515939.00 ,1509264800910.00 ,121.2109899,31.28225603,7,6188,27378,23,4,-67,6188,26051,14,4,-85,0,-1,13,4,-87,6188,27394,15,4,-83,6188,41119,12,4,-89,6182,41139,13,4,-87,0,-1,14,4,-85
460011670515939.00 ,1509264801977.00 ,121.2111017,31.28219829,7,6188,27378,23,4,-67,6188,26051,14,4,-85,0,-1,13,4,-87,6188,27394,15,4,-83,6188,41119,12,4,-89,6182,41139,13,4,-87,0,-1,14,4,-85
460011670515939.00 ,1509264803067.00 ,121.2111017,31.28219829,7,6188,27378,22,4,-69,6188,26051,14,4,-85,0,-1,13,4,-87,6188,27394,15,4,-83,6188,41119,12,4,-89,6182,41139,12,4,-89,6188,25105,14,4,-85
460011670515939.00 ,1509264804132.00 ,121.2112059,31.28215189,7,6188,27378,22,4,-69,6188,26051,14,4,-85,0,-1,13,4,-87,6188,27394,15,4,-83,6188,41119,12,4,-89,6182,41139,12,4,-89,6188,25105,14,4,-85
460011670515939.00 ,1509264805207.00 ,121.2112059,31.28215189,6,6188,27378,23,4,-67,6188,26051,14,4,-85,0,-1,13,4,-87,6188,27394,16,4,-81,6188,41119,12,4,-89,6188,25105,15,4,-83,,,,,
460011670515939.00 ,1509264806293.00 ,121.211378,31.28206276,6,6188,27378,23,4,-67,6188,26051,14,4,-85,0,-1,13,4,-87,6188,27394,16,4,-81,6188,41119,12,4,-89,6188,25105,15,4,-83,,,,,
460011670515939.00 ,1509264807354.00 ,121.211378,31.28206276,6,6188,27378,23,4,-67,6188,26051,14,4,-85,0,-1,13,4,-87,6188,27394,16,4,-81,6188,41119,13,4,-87,6188,25105,15,4,-83,,,,,
460011670515939.00 ,1509264808425.00 ,121.2114218,31.28204361,6,6188,27378,23,4,-67,6188,26051,14,4,-85,0,-1,13,4,-87,6188,27394,16,4,-81,6188,41119,13,4,-87,6188,25105,15,4,-83,,,,,
460011670515939.00 ,1509264809514.00 ,121.2114218,31.28204361,6,6188,27378,23,4,-67,6188,26051,13,4,-87,0,-1,14,4,-85,6188,27394,16,4,-81,6188,25105,16,4,-81,6188,25763,13,4,-87,,,,,
460011670515939.00 ,1509264810577.00 ,121.2115671,31.2820009,6,6188,27378,23,4,-67,6188,26051,13,4,-87,0,-1,14,4,-85,6188,27394,16,4,-81,6188,25105,16,4,-81,6188,25763,13,4,-87,,,,,
460011670515939.00 ,1509264811650.00 ,121.2115671,31.2820009,6,6188,27378,23,4,-67,6188,26051,13,4,-87,0,-1,14,4,-85,6188,27394,17,4,-79,6188,25105,16,4,-81,6188,25763,13,4,-87,,,,,
460011670515939.00 ,1509264812734.00 ,121.2116914,31.28196301,6,6188,27378,23,4,-67,6188,26051,13,4,-87,0,-1,14,4,-85,6188,27394,17,4,-79,6188,25105,16,4,-81,6188,25763,13,4,-87,,,,,
460011670515939.00 ,1509264813624.00 ,121.2116914,31.28196301,6,6188,27378,24,4,-65,6188,26051,13,4,-87,0,-1,14,4,-85,6188,27394,17,4,-79,6188,25105,15,4,-83,6188,25763,13,4,-87,,,,,
460011670515939.00 ,1509264814870.00 ,121.211804,31.2819204,6,6188,27378,24,4,-65,6188,26051,13,4,-87,0,-1,14,4,-85,6188,27394,17,4,-79,6188,25105,15,4,-83,6188,25763,13,4,-87,,,,,
460011670515939.00 ,1509264815956.00 ,121.211804,31.2819204,6,6188,27378,25,4,-63,6188,26051,13,4,-87,0,-1,14,4,-85,6188,27394,17,4,-79,6188,25105,15,4,-83,6188,25763,13,4,-87,,,,,
460011670515939.00 ,1509264816779.00 ,121.2118911,31.28190913,6,6188,27378,25,4,-63,6188,26051,13,4,-87,0,-1,14,4,-85,6188,27394,17,4,-79,6188,25105,15,4,-83,6188,25763,13,4,-87,,,,,
460011670515939.00 ,1509264817846.00 ,121.2118911,31.28190913,6,6188,27378,24,4,-65,6188,26051,13,4,-87,0,-1,14,4,-85,6188,27394,19,4,-75,6188,25105,16,4,-81,6188,27377,13,4,-87,,,,,
460011670515939.00 ,1509264818907.00 ,121.2119852,31.28191026,6,6188,27378,24,4,-65,6188,26051,13,4,-87,0,-1,14,4,-85,6188,27394,19,4,-75,6188,25105,16,4,-81,6188,27377,13,4,-87,,,,,
460011670515939.00 ,1509264820009.00 ,121.2119852,31.28191026,6,6188,27378,24,4,-65,6188,26051,13,4,-87,0,-1,14,4,-85,6188,27394,20,4,-73,6188,25105,16,4,-81,6188,27377,13,4,-87,,,,,
460011670515939.00 ,1509264821052.00 ,121.2121152,31.28190462,6,6188,27378,24,4,-65,6188,26051,13,4,-87,0,-1,14,4,-85,6188,27394,20,4,-73,6188,25105,16,4,-81,6188,27377,13,4,-87,,,,,
460011670515939.00 ,1509264822122.00 ,121.2121152,31.28190462,7,6188,27378,25,4,-63,6188,26051,12,4,-89,0,-1,13,4,-87,6188,27394,20,4,-73,6188,25105,16,4,-81,6188,27377,13,4,-87,6188,25763,13,4,-87
460011670515939.00 ,1509264823206.00 ,121.2122377,31.2819133,7,6188,27378,25,4,-63,6188,26051,12,4,-89,0,-1,13,4,-87,6188,27394,20,4,-73,6188,25105,16,4,-81,6188,27377,13,4,-87,6188,25763,13,4,-87
460011670515939.00 ,1509264824271.00 ,121.2122377,31.2819133,7,6188,27378,24,4,-65,6188,26051,12,4,-89,0,-1,13,4,-87,6188,27394,21,4,-71,6188,25105,16,4,-81,6188,27377,13,4,-87,6188,25763,13,4,-87
460011670515939.00 ,1509264825342.00 ,121.2123773,31.28189428,7,6188,27378,24,4,-65,6188,26051,12,4,-89,0,-1,13,4,-87,6188,27394,21,4,-71,6188,25105,16,4,-81,6188,27377,13,4,-87,6188,25763,13,4,-87
460011670515939.00 ,1509264826464.00 ,121.2123773,31.28189428,7,6188,27378,23,4,-67,0,-1,13,4,-87,6188,27394,21,4,-71,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,6188,27395,12,4,-89
460011670515939.00 ,1509264827497.00 ,121.2126051,31.28186261,7,6188,27378,23,4,-67,0,-1,13,4,-87,6188,27394,21,4,-71,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,6188,27395,12,4,-89
460011670515939.00 ,1509264828565.00 ,121.2126051,31.28186261,6,6188,27378,22,4,-69,0,-1,13,4,-87,6188,27394,23,4,-67,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,,,,,
460011670515939.00 ,1509264829659.00 ,121.2126644,31.28184786,6,6188,27378,22,4,-69,0,-1,13,4,-87,6188,27394,23,4,-67,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,,,,,
460011670515939.00 ,1509264830717.00 ,121.2126644,31.28184786,6,6188,27378,23,4,-67,6188,27394,23,4,-67,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,6188,27395,13,4,-87,,,,,
460011670515939.00 ,1509264831788.00 ,121.2127656,31.28185121,6,6188,27378,23,4,-67,6188,27394,23,4,-67,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,6188,27395,13,4,-87,,,,,
460011670515939.00 ,1509264832875.00 ,121.2127656,31.28185121,6,6188,27378,23,4,-67,6188,27394,24,4,-65,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,6188,27395,14,4,-85,,,,,
460011670515939.00 ,1509264833953.00 ,121.2128842,31.28187277,6,6188,27378,23,4,-67,6188,27394,24,4,-65,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,6188,27395,14,4,-85,,,,,
460011670515939.00 ,1509264834789.00 ,121.2128842,31.28187277,6,6188,27378,24,4,-65,6188,27394,24,4,-65,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,6188,27395,14,4,-85,,,,,
460011670515939.00 ,1509264835829.00 ,121.2129992,31.28186578,6,6188,27378,24,4,-65,6188,27394,24,4,-65,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,6188,27395,14,4,-85,,,,,
460011670515939.00 ,1509264836943.00 ,121.2129992,31.28186578,6,6188,27394,24,4,-65,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,6188,27395,14,4,-85,0,-1,18,4,-77,,,,,
460011670515939.00 ,1509264837970.00 ,121.2130986,31.2818646,6,6188,27394,24,4,-65,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,6188,27395,14,4,-85,0,-1,18,4,-77,,,,,
460011670515939.00 ,1509264839322.00 ,121.2130986,31.2818646,7,6188,27394,23,4,-67,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,6188,27395,14,4,-85,6188,25089,19,4,-75,6188,27378,25,4,-63
460011670515939.00 ,1509264840388.00 ,121.2132249,31.28186104,7,6188,27394,23,4,-67,6188,25105,16,4,-81,6188,27377,13,4,-87,6182,41139,13,4,-87,6188,27395,14,4,-85,6188,25089,19,4,-75,6188,27378,25,4,-63
460011670515939.00 ,1509264841458.00 ,121.2132249,31.28186104,7,6188,27394,21,4,-71,6188,25105,17,4,-79,6188,27377,13,4,-87,6188,27395,13,4,-87,6188,25089,19,4,-75,6188,27378,25,4,-63,0,-1,14,4,-85
460011670515939.00 ,1509264842546.00 ,121.2133553,31.28187878,7,6188,27394,21,4,-71,6188,25105,17,4,-79,6188,27377,13,4,-87,6188,27395,13,4,-87,6188,25089,19,4,-75,6188,27378,25,4,-63,0,-1,14,4,-85
460011670515939.00 ,1509264843432.00 ,121.2133553,31.28187878,7,6188,27394,22,4,-69,6188,25105,17,4,-79,6188,27377,13,4,-87,6188,27395,13,4,-87,6188,25089,20,4,-73,6188,27378,25,4,-63,6188,25090,14,4,-85
460011670515939.00 ,1509264844428.00 ,121.2135869,31.28185983,7,6188,27394,22,4,-69,6188,25105,17,4,-79,6188,27377,13,4,-87,6188,27395,13,4,-87,6188,25089,20,4,-73,6188,27378,25,4,-63,6188,25090,14,4,-85
460011670515939.00 ,1509264845530.00 ,121.2135869,31.28185983,7,6188,27394,22,4,-69,6188,25105,17,4,-79,6188,27377,14,4,-85,6188,27395,13,4,-87,6188,25089,20,4,-73,6188,27378,25,4,-63,6188,25090,14,4,-85
460011670515939.00 ,1509264846567.00 ,121.2136654,31.2818426,7,6188,27394,22,4,-69,6188,25105,17,4,-79,6188,27377,14,4,-85,6188,27395,13,4,-87,6188,25089,20,4,-73,6188,27378,25,4,-63,6188,25090,14,4,-85
460011670515939.00 ,1509264847679.00 ,121.2136654,31.2818426,7,6188,27394,21,4,-71,6188,25105,18,4,-77,6188,27377,14,4,-85,6188,27395,13,4,-87,6188,25089,20,4,-73,6188,27378,24,4,-65,6188,25090,14,4,-85
460011670515939.00 ,1509264848708.00 ,121.2138045,31.28183179,7,6188,27394,21,4,-71,6188,25105,18,4,-77,6188,27377,14,4,-85,6188,27395,13,4,-87,6188,25089,20,4,-73,6188,27378,24,4,-65,6188,25090,14,4,-85
460011670515939.00 ,1509264849793.00 ,121.2138045,31.28183179,7,6188,27394,21,4,-71,6188,25105,18,4,-77,6188,27377,14,4,-85,6188,27395,12,4,-89,6188,25089,20,4,-73,6188,27378,24,4,-65,6188,25090,13,4,-87
460011670515939.00 ,1509264850860.00 ,121.2139453,31.28183441,7,6188,27394,21,4,-71,6188,25105,18,4,-77,6188,27377,14,4,-85,6188,27395,12,4,-89,6188,25089,20,4,-73,6188,27378,24,4,-65,6188,25090,13,4,-87
460011670515939.00 ,1509264851931.00 ,121.2139453,31.28183441,7,6188,27378,25,4,-63,6188,25105,18,4,-77,6188,27377,14,4,-85,6188,25089,20,4,-73,6188,27378,24,4,-65,6188,25090,13,4,-87,6182,41139,13,4,-87
460011670515939.00 ,1509264853017.00 ,121.2140741,31.2818305,7,6188,27378,25,4,-63,6188,25105,18,4,-77,6188,27377,14,4,-85,6188,25089,20,4,-73,6188,27378,24,4,-65,6188,25090,13,4,-87,6182,41139,13,4,-87
460011670515939.00 ,1509264854083.00 ,121.2140741,31.2818305,5,6188,27378,23,4,-67,6188,25105,18,4,-77,6188,27377,14,4,-85,6188,25089,19,4,-75,6182,41139,13,4,-87,,,,,,,,,,
460011670515939.00 ,1509264855152.00 ,121.2141807,31.28183493,5,6188,27378,23,4,-67,6188,25105,18,4,-77,6188,27377,14,4,-85,6188,25089,19,4,-75,6182,41139,13,4,-87,,,,,,,,,,
